[2023-10-04 21:35:02,130] Itteratie:379
[2023-10-04 21:35:05,312] Itteratie:380
[2023-10-04 21:35:08,492] Itteratie:381
[2023-10-04 21:35:11,665] Itteratie:382
[2023-10-04 21:35:14,816] Itteratie:383
[2023-10-04 21:35:18,002] Itteratie:384
[2023-10-04 21:35:18,027] Oplossing:41.699999999999996
[2023-10-04 21:35:21,192] Itteratie:385
[2023-10-04 21:35:24,449] Itteratie:386
[2023-10-04 21:35:24,449] Oplossing:41.65
[2023-10-04 21:35:27,714] Itteratie:387
[2023-10-04 21:35:27,714] Oplossing:41.55
[2023-10-04 21:35:30,861] Itteratie:388
[2023-10-04 21:35:30,861] Oplossing:41.5
[2023-10-04 21:35:33,993] Itteratie:389
[2023-10-04 21:35:37,111] Itteratie:390
[2023-10-04 21:35:40,296] Itteratie:391
[2023-10-04 21:35:43,469] Itteratie:392
[2023-10-04 21:35:46,647] Itteratie:393
[2023-10-04 21:35:49,888] Itteratie:394
[2023-10-04 21:35:53,062] Itteratie:395
[2023-10-04 21:35:56,212] Itteratie:396
[2023-10-04 21:35:59,377] Itteratie:397
[2023-10-04 21:36:02,551] Itteratie:398
[2023-10-04 21:36:05,715] Itteratie:399
[2023-10-04 21:36:08,989] Itteratie:400
[2023-10-04 21:36:12,222] Itteratie:401
[2023-10-04 21:36:15,538] Itteratie:402
[2023-10-04 21:36:18,743] Itteratie:403
[2023-10-04 21:36:21,964] Itteratie:404
[2023-10-04 21:36:25,161] Itteratie:405
[2023-10-04 21:36:28,358] Itteratie:406
[2023-10-04 21:36:31,522] Itteratie:407
[2023-10-04 21:36:34,731] Itteratie:408
[2023-10-04 21:36:40,401] Itteratie:409
[2023-10-04 21:36:43,553] Itteratie:410
[2023-10-04 21:36:46,760] Itteratie:411
[2023-10-04 21:36:50,457] Itteratie:412
[2023-10-04 21:36:50,457] Oplossing:41.199999999999996
[2023-10-04 21:36:54,092] Itteratie:413
[2023-10-04 21:36:57,843] Itteratie:414
[2023-10-04 21:37:01,602] Itteratie:415
[2023-10-04 21:37:05,214] Itteratie:416
[2023-10-04 21:37:05,214] Oplossing:40.9
[2023-10-04 21:37:08,944] Itteratie:417
[2023-10-04 21:37:12,685] Itteratie:418
[2023-10-04 21:37:15,969] Itteratie:419
[2023-10-04 21:37:19,135] Itteratie:420
[2023-10-04 21:37:22,316] Itteratie:421
[2023-10-04 21:37:25,496] Itteratie:422
[2023-10-04 21:37:28,654] Itteratie:423
[2023-10-04 21:37:31,837] Itteratie:424
[2023-10-04 21:37:35,033] Itteratie:425
[2023-10-04 21:37:38,214] Itteratie:426
[2023-10-04 21:37:41,379] Itteratie:427
[2023-10-04 21:37:44,552] Itteratie:428
[2023-10-04 21:37:47,747] Itteratie:429
[2023-10-04 21:37:50,899] Itteratie:430
[2023-10-04 21:37:54,034] Itteratie:431
[2023-10-04 21:37:57,199] Itteratie:432
[2023-10-04 21:38:00,396] Itteratie:433
[2023-10-04 21:38:03,589] Itteratie:434
[2023-10-04 21:38:06,731] Itteratie:435
[2023-10-04 21:38:09,914] Itteratie:436
[2023-10-04 21:38:13,077] Itteratie:437
[2023-10-04 21:38:16,246] Itteratie:438
[2023-10-04 21:38:19,420] Itteratie:439
[2023-10-04 21:38:22,567] Itteratie:440
[2023-10-04 21:38:25,711] Itteratie:441
[2023-10-04 21:38:28,850] Itteratie:442
[2023-10-04 21:38:32,015] Itteratie:443
[2023-10-04 21:38:35,205] Itteratie:444
[2023-10-04 21:38:38,379] Itteratie:445
[2023-10-04 21:38:41,550] Itteratie:446
[2023-10-04 21:38:44,755] Itteratie:447
[2023-10-04 21:38:48,265] Itteratie:448
[2023-10-04 21:38:51,500] Itteratie:449
[2023-10-04 21:38:54,712] Itteratie:450
[2023-10-04 21:38:57,896] Itteratie:451
[2023-10-04 21:39:01,305] Itteratie:452
[2023-10-04 21:39:04,503] Itteratie:453
[2023-10-04 21:39:04,522] Oplossing:40.6
[2023-10-04 21:39:07,711] Itteratie:454
[2023-10-04 21:39:10,886] Itteratie:455
[2023-10-04 21:39:14,036] Itteratie:456
[2023-10-04 21:39:17,191] Itteratie:457
[2023-10-04 21:39:23,360] Itteratie:458
[2023-10-04 21:39:26,546] Itteratie:459
[2023-10-04 21:39:26,546] Oplossing:40.300000000000004
[2023-10-04 21:39:29,719] Itteratie:460
[2023-10-04 21:39:32,872] Itteratie:461
[2023-10-04 21:39:36,035] Itteratie:462
[2023-10-04 21:39:39,214] Itteratie:463
[2023-10-04 21:39:39,214] Oplossing:40.0
[2023-10-04 21:39:42,444] Itteratie:464
[2023-10-04 21:39:45,641] Itteratie:465
[2023-10-04 21:39:50,022] Itteratie:466
[2023-10-04 21:39:53,162] Itteratie:467
[2023-10-04 21:39:56,359] Itteratie:468
[2023-10-04 21:39:59,525] Itteratie:469
[2023-10-04 21:40:02,700] Itteratie:470
[2023-10-04 21:40:05,826] Itteratie:471
[2023-10-04 21:40:08,972] Itteratie:472
[2023-10-04 21:40:12,172] Itteratie:473
[2023-10-04 21:40:15,351] Itteratie:474
[2023-10-04 21:40:18,497] Itteratie:475
[2023-10-04 21:40:21,665] Itteratie:476
[2023-10-04 21:40:24,837] Itteratie:477
[2023-10-04 21:40:28,017] Itteratie:478
[2023-10-04 21:40:31,182] Itteratie:479
[2023-10-04 21:40:35,580] Itteratie:480
[2023-10-04 21:40:38,761] Itteratie:481
[2023-10-04 21:40:42,261] Itteratie:482
[2023-10-04 21:40:45,733] Itteratie:483
[2023-10-04 21:40:49,214] Itteratie:484
[2023-10-04 21:40:52,409] Itteratie:485
[2023-10-04 21:40:55,758] Itteratie:486
[2023-10-04 21:40:58,930] Itteratie:487
[2023-10-04 21:40:58,941] Oplossing:39.949999999999996
[2023-10-04 21:41:02,124] Itteratie:488
[2023-10-04 21:41:05,439] Itteratie:489
[2023-10-04 21:41:08,768] Itteratie:490
[2023-10-04 21:41:12,048] Itteratie:491
[2023-10-04 21:41:15,354] Itteratie:492
[2023-10-04 21:41:18,616] Itteratie:493
[2023-10-04 21:41:22,526] Itteratie:494
[2023-10-04 21:41:22,532] Oplossing:39.64999999999999
[2023-10-04 21:41:26,857] Itteratie:495
[2023-10-04 21:41:31,649] Itteratie:496
[2023-10-04 21:41:35,578] Itteratie:497
[2023-10-04 21:41:38,929] Itteratie:498
